name,tags,cost,description,rating,opening_hours
National Museum,arts culture history,15,Explore historical and cultural artifacts.,4.5,10:00 AM - 7:00 PM
ArtScience Museum,arts innovation technology,18,A museum blending art and science.,4.4,10:00 AM - 7:00 PM
Chinatown Heritage Centre,arts culture history,12,Experience the history of Chinatown.,4.2,9:00 AM - 6:00 PM
The Esplanade – Theatres on the Bay,arts performance music,0,A world-class performing arts venue with concerts and exhibitions.,4.6,10:00 AM - 10:00 PM
Gillman Barracks,arts galleries exhibitions,0,A contemporary art cluster with exhibitions from local and international artists.,4.3,11:00 AM - 7:00 PM
Malay Heritage Centre,arts culture history,8,A center showcasing the rich heritage and culture of the Malay community.,4.4,9:00 AM - 6:00 PM
Indian Heritage Centre,arts culture history,6,Learn about the Indian community’s contributions to Singapore's history.,4.5,10:00 AM - 7:00 PM
Singapore Art Museum,arts contemporary exhibitions,10,Showcases contemporary art from Singapore and Southeast Asia.,4.2,10:00 AM - 7:00 PM
National Gallery Singapore,arts heritage visual-arts,20,Houses the largest public collection of modern art in Singapore and Southeast Asia.,4.5,10:00 AM - 7:00 PM
Peranakan Museum,arts culture heritage,6,Explores the culture of Peranakan communities in Southeast Asia.,4.4,10:00 AM - 7:00 PM

Gardens by the Bay,nature arts relaxation,20,A stunning garden with futuristic design.,4.7,5:00 AM - 2:00 AM
MacRitchie Reservoir,nature hiking wildlife,0,Perfect for nature walks and wildlife spotting.,4.6,7:00 AM - 7:00 PM
East Coast Park,nature relaxation outdoors,0,Relax by the beach and enjoy outdoor activities.,4.5,24 Hours
Southern Ridges,nature hiking wildlife,0,A scenic trail connecting parks and gardens with stunning views of the city and nature.,4.7,7:00 AM - 7:00 PM
Bukit Timah Nature Reserve,nature hiking wildlife,0,A rainforest reserve with hiking trails and rich biodiversity.,4.6,7:00 AM - 7:00 PM
Coney Island Park,nature biking wildlife,0,A tranquil island park for cycling and nature walks.,4.5,7:00 AM - 7:00 PM
Sungei Buloh Wetland Reserve,nature wildlife bird-watching,0,A haven for migratory birds and other wildlife.,4.6,7:00 AM - 7:00 PM
Labrador Nature Reserve,nature history coastal,0,Offers coastal walks with rich biodiversity and historical sites.,4.5,7:00 AM - 7:00 PM
Fort Canning Park,nature history park,0,A historic hilltop park in the heart of the city.,4.6,Open 24 hours
Pasir Ris Park,nature family mangroves,0,Features a mangrove boardwalk and bird-watching opportunities.,4.4,Open 24 hours

Sentosa Island,adventure family thrill,50,An island full of thrilling attractions.,4.6,9:00 AM - 10:00 PM
Skyline Luge Sentosa,adventure thrill fun,25,Exciting luge rides down the hill.,4.5,10:00 AM - 9:30 PM
AJ Hackett Bungy Jump,adventure extreme thrill,60,A heart-pumping bungy jump experience.,4.4,10:00 AM - 7:00 PM
Mega Adventure Park,adventure thrill zipline,50,Enjoy an exhilarating zipline across the lush greenery of Sentosa.,4.5,10:00 AM - 7:00 PM
HydroDash,adventure waterpark fun,18,Singapore’s first floating aqua park at Sentosa.,4.2,10:00 AM - 7:00 PM
Forest Adventure at Bedok Reservoir,adventure treetop obstacle-course,50,A thrilling treetop obstacle course for adventure enthusiasts.,4.6,9:00 AM - 6:00 PM
Singapore Wake Park,adventure watersports thrill,40,A cable-ski park for wakeboarding and other water sports.,4.4,10:00 AM - 8:00 PM
iFly Singapore,adventure thrill skydiving,89,Experience indoor skydiving in one of the world's largest wind tunnels.,4.7,9:00 AM - 9:30 PM
Wave House Sentosa,adventure surfing fun,35,Offers simulated surfing on high-energy wave rides.,4.3,11:30 AM - 9:30 PM
HeadRock VR,adventure virtual-reality gaming,35,A virtual reality theme park with various thrilling experiences.,4.2,10:00 AM - 8:00 PM

Orchard Road,shopping luxury,0,Singapore's premier shopping destination.,4.6,10:00 AM - 10:00 PM
Bugis Street Market,shopping bargains souvenirs,0,A vibrant market with affordable goods.,4.3,10:00 AM - 7:00 PM
The Shoppes at Marina Bay Sands,shopping luxury high-end,0,High-end shopping at Marina Bay.,4.5,10:30 AM - 11:00 PM
Changi City Point,shopping outlet bargains,0,An outlet mall offering discounts on popular brands.,4.2,10:00 AM - 9:00 PM
Far East Plaza,shopping bargains trendy,0,A hotspot for affordable and trendy fashion.,4.1,10:00 AM - 9:00 PM
Haji Lane,shopping boutiques artsy,0,A hip street with unique boutiques cafes and street art.,4.5,Open 24 hours
Sim Lim Square,shopping electronics gadgets,0,The go-to place for electronics and gadgets.,3.8,10:30 AM - 9:00 PM
